,Shirt Number,Player Name,Date of Birth,Age,Nationality,Position,Age_2021,Team,Number of games,Games started,Mins,Goals,Shots,Assist,CC,SOT,Fouls commited,Fouls won,Yellow Card,Red Card,Shot_accuracy,Goal_ratio,Sub_in,Transfer_new,Transfer_SPL
0,1,Takahiro Koga,1999-03-11,23,JPN,Goal Keeper,22,Albirex Niigata FC (S),21,21,1890:00:00,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0
1,3,Takahiro Tezuka,1998-06-25,23,JPN,Defender,23,Albirex Niigata FC (S),21,20,1845:00:00,5,28,5,5,12,14,10,0,0,0.43,0.18,1,0,0
2,4,Shuya Yamashita,1998-04-16,24,JPN,Defender,23,Albirex Niigata FC (S),21,21,1890:00:00,3,20,1,1,9,33,13,3,0,0.45,0.15,0,0,0
3,5,Kazuki Hashioka,1997-01-20,25,JPN,Defender,24,Albirex Niigata FC (S),21,21,1890:00:00,0,25,4,4,5,26,14,3,0,0.2,0.0,0,1,0
4,6,Yu Tokiwa,1998-05-23,24,JPN,Defender,23,Albirex Niigata FC (S),21,20,1828:23:00,0,13,3,3,2,39,20,1,0,0.15,0.0,1,0,0
5,7,Ryoya Taniguchi,1999-08-31,22,JPN,Midfielder,22,Albirex Niigata FC (S),19,19,1682:35:00,9,65,8,8,27,34,22,5,0,0.42,0.14,0,1,0
6,8,Kosuke Chiku,1999-02-03,23,JPN,Midfielder,22,Albirex Niigata FC (S),21,21,1890:00:00,1,18,1,1,5,21,22,0,0,0.28,0.06,0,0,0
7,9,Kiyoshiro Tsuboi,2000-02-01,22,JPN,Forward,21,Albirex Niigata FC (S),13,10,942:51:00,15,60,4,4,34,26,8,3,0,0.57,0.25,3,0,0
8,10,Ryosuke Nagasawa,1998-09-25,23,JPN,Forward,23,Albirex Niigata FC (S),14,13,1203:55:00,2,17,1,1,8,25,41,0,0,0.47,0.12,1,1,0
9,13,Mahiro Takahashi,2001-06-26,20,JPN,Midfielder,20,Albirex Niigata FC (S),10,0,215:09:00,0,4,0,0,3,6,3,0,0,0.75,0.0,10,1,0
10,14,Yasuhiro Hanada,2000-05-22,22,JPN,Midfielder,21,Albirex Niigata FC (S),14,0,349:36:00,1,6,2,2,3,6,1,0,0,0.5,0.17,14,1,0
11,16,Makoto Ito,2000-02-10,22,JPN,Midfielder,21,Albirex Niigata FC (S),5,0,114:30:00,1,2,0,0,1,3,1,1,0,0.5,0.5,5,0,0
12,17,Muhammad Fikri Bin Junaidi,2000-04-02,22,SGP,Forward,21,Albirex Niigata FC (S),3,3,135:00:00,1,3,2,2,1,5,3,0,0,0.33,0.33,0,0,1
13,18,Fumiya Suzuki,1998-04-29,24,JPN,Forward,23,Albirex Niigata FC (S),6,0,133:28:00,1,7,0,0,3,7,1,0,0,0.43,0.14,6,0,0
14,20,Muhammad Fairoz Bin Hasan,1988-11-26,33,SGP,Forward,33,Albirex Niigata FC (S),8,7,331:38:00,0,3,0,0,1,8,1,0,0,0.33,0.0,1,1,0
15,21,Mohamed Hyrulnizam Bin Juma'at,1986-11-14,35,SGP,Goal Keeper,35,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
16,23,Tsubasa Kawanishi,2002-06-12,19,JPN,Defender,19,Albirex Niigata FC (S),1,0,0:00,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,0
17,24,Muhammad Hilman Bin Norhisam,2004-05-24,18,SGP,Midfielder,17,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
18,25,Reo Kunimoto,2001-09-01,20,JPN,Defender,20,Albirex Niigata FC (S),20,20,1800:00:00,2,8,1,1,4,18,11,2,0,0.5,0.25,0,0,0
19,27,Yu En Ong,2003-10-03,18,SGP,Midfielder,18,Albirex Niigata FC (S),18,18,1064:51:00,0,8,4,4,2,19,21,1,0,0.25,0.0,0,1,0
20,29,Nicky Melvin Singh,2002-06-13,19,SGP,Midfielder,19,Albirex Niigata FC (S),13,13,666:39:00,1,13,0,0,6,13,9,0,0,0.46,0.08,0,0,0
21,30,Kohga Tsuruhara,2000-07-30,21,JPN,Defender,21,Albirex Niigata FC (S),1,0,0:29,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,0
22,31,Morrison Asahi Hashii,2001-05-21,21,JPN,Forward,20,Albirex Niigata FC (S),1,0,2:19,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
23,32,Kuraba Kondo,2002-07-06,19,JPN,Forward,19,Albirex Niigata FC (S),16,3,833:29:00,8,31,3,3,17,17,11,1,0,0.55,0.26,13,0,0
24,40,Yang Guang Sunny Tia,2004-02-25,18,SGP,Goal Keeper,17,Albirex Niigata FC (S),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
25,45,Junki Kenn Yoshimura,2004-07-20,17,SGP,Defender,17,Albirex Niigata FC (S),1,1,45:00:00,0,2,0,0,1,2,0,0,0,0.5,0.0,0,0,0
26,1,Riki Kimura,2000-11-14,21,SGP,Goal Keeper,21,Balestier Khalsa FC,5,5,450:00:00,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0
27,2,Muhammad Fadli Bin Kamis,1992-11-07,29,SGP,Defender,29,Balestier Khalsa FC,21,18,1727:00:00,0,7,0,0,2,19,23,2,0,0.29,0.0,3,1,0
28,3,Yi Qi Goh,1998-03-06,24,SGP,Midfielder,23,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
29,4,Mohamed Faizal Bin Mohamed Raffi,1996-01-20,26,SGP,Midfielder,25,Balestier Khalsa FC,14,8,770:24:00,2,12,0,0,4,5,10,1,0,0.33,0.17,6,1,0
30,5,Ensar Bruncevic,1999-02-13,23,SRB,Defender,22,Balestier Khalsa FC,18,18,1551:02:00,1,13,1,1,5,21,14,6,2,0.38,0.08,0,1,0
31,6,C Aarish Kumar,1999-05-19,23,SGP,Midfielder,22,Balestier Khalsa FC,8,8,639:39:00,0,5,0,0,3,10,4,1,0,0.6,0.0,0,1,0
32,7,Mohammad Hazzuwan Mohammad Halim,1994-02-02,28,SGP,Midfielder,27,Balestier Khalsa FC,20,18,1584:38:00,3,32,4,4,12,24,31,5,0,0.38,0.09,2,1,0
33,8,Kristijan Krajcek,1993-10-01,28,CRO,Midfielder,28,Balestier Khalsa FC,17,17,1530:00:00,6,59,6,6,20,38,33,3,0,0.34,0.1,0,1,0
34,9,Shuhei Hoshino,1995-12-19,26,JPN,Forward,26,Balestier Khalsa FC,21,20,1790:34:00,3,53,5,5,12,29,43,2,0,0.23,0.06,1,1,0
35,10,Sime Zuzul,1996-01-10,26,CRO,Forward,25,Balestier Khalsa FC,21,15,1574:47:00,15,54,6,6,28,28,40,1,0,0.52,0.28,6,1,0
36,11,Mohamed Iqbal Bin Hamid Hussain,1993-06-06,28,SGP,Forward,28,Balestier Khalsa FC,6,1,169:11:00,0,4,0,0,0,3,5,0,0,0.0,0.0,5,0,1
37,13,Muhammad Amer Hakeem Bin Mohamad Nazri,1998-11-08,23,SGP,Defender,23,Balestier Khalsa FC,18,18,1590:49:00,1,6,1,1,2,15,4,4,0,0.33,0.17,0,0,1
38,14,Hariysh S/O Krishnakumar,2002-10-23,19,SGP,Midfielder,19,Balestier Khalsa FC,9,2,169:13:00,0,1,0,0,0,2,1,1,0,0.0,0.0,7,0,0
39,15,Gautam S/O Selvamany,1996-07-28,25,SGP,Midfielder,25,Balestier Khalsa FC,6,0,131:10:00,0,2,0,0,2,3,0,1,0,1.0,0.0,6,0,0
40,17,Gaye Sameer Alassane,2000-12-24,21,SGP,Defender,21,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
41,18,Ahmad Syahir Bin Sahimi,1992-04-10,30,SGP,Defender,29,Balestier Khalsa FC,18,15,1388:23:00,0,4,0,0,1,20,21,6,0,0.25,0.0,3,1,0
42,24,Wai Loon Ho,1993-08-20,28,SGP,Defender,28,Balestier Khalsa FC,7,6,520:47:00,0,2,1,1,0,8,16,1,0,0.0,0.0,1,0,0
43,25,Jia Jun Zacharial Leong,1998-04-06,24,SGP,Goal Keeper,23,Balestier Khalsa FC,3,3,270:00:00,0,0,0,0,0,0,1,0,0,0.0,0.0,0,1,0
44,28,Jun Kit Gareth Low,1997-02-28,25,SGP,Midfielder,24,Balestier Khalsa FC,20,17,1536:49:00,0,16,0,0,3,14,8,3,0,0.19,0.0,3,0,1
45,39,Aiman Zavyan Zuraiddy,2002-06-07,19,SGP,Defender,19,Balestier Khalsa FC,7,1,197:36:00,0,0,0,0,0,1,0,0,0,0.0,0.0,6,1,0
46,44,Aravindhan Ramanathan,2000-05-29,22,SGP,Midfielder,21,Balestier Khalsa FC,1,0,15:01,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
47,45,Joshua Clement De Souza,2000-10-10,21,SGP,Forward,21,Balestier Khalsa FC,4,2,90:00:00,0,2,0,0,0,2,0,0,0,0.0,0.0,2,0,0
48,46,Muhammad Aqil Mohamed Yazid,2004-01-09,18,SGP,Defender,17,Balestier Khalsa FC,6,4,265:13:00,0,0,0,0,0,3,2,1,0,0.0,0.0,2,0,0
49,50,Hong Kai Seng,2004-08-10,17,SGP,Forward,17,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
50,52,Keshav Kumar S/O Kishore Kumar,2001-02-06,21,SGP,Defender,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
51,53,Ryan Praveen Tamil Selven,2002-05-28,20,SGP,Midfielder,19,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
52,55,Aidil Bin Johari,2003-04-05,19,SGP,Defender,18,Balestier Khalsa FC,14,11,897:30:00,1,9,2,2,3,15,10,1,0,0.33,0.11,3,0,0
53,60,Jing Xi Oliver Sim,2001-06-09,20,SGP,Goal Keeper,20,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0
54,66,Puvan Raj Sivalingam,2001-08-29,20,SGP,Forward,20,Balestier Khalsa FC,12,10,601:06:00,2,9,1,1,3,20,4,1,0,0.33,0.22,2,1,0
55,67,Mohammad Iftiqar Bin Mohammad Parizan,2003-04-21,19,SGP,Midfielder,18,Balestier Khalsa FC,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
56,1,Hairul Syirhan Bin Mardan,1995-08-21,26,SGP,Goal Keeper,26,Geylang International FC,5,4,405:00:00,0,0,0,0,0,0,3,0,0,0.0,0.0,1,1,0
57,2,Muhammad Adam Hakeem Bin Mohamad Nazri,1997-03-17,25,SGP,Defender,24,Geylang International FC,2,1,100:39:00,0,1,0,0,0,2,1,0,0,0.0,0.0,1,1,0
58,3,Mohamed Ilhan Bin Mohamed Noor,2002-12-19,19,SGP,Defender,19,Geylang International FC,10,10,761:46:00,2,6,0,0,4,17,6,3,0,0.67,0.33,0,1,0
59,4,Danny Hyungjun Kim,1998-05-28,24,AUS,Midfielder,23,Geylang International FC,10,8,775:00:00,1,4,0,0,1,9,9,0,0,0.25,0.25,2,0,0
60,5,Ting Wei Darren Teh,1996-08-19,25,SGP,Defender,25,Geylang International FC,13,11,1013:29:00,0,2,0,0,0,7,7,2,0,0.0,0.0,2,1,0
61,6,Umar Akhbar Ramle,1996-05-02,26,SGP,Midfielder,25,Geylang International FC,6,1,228:18:00,0,1,0,0,0,4,3,0,0,0.0,0.0,5,1,0
62,7,Amy Recha Pristifana Bin Samion,1992-05-13,30,SGP,Forward,29,Geylang International FC,21,18,1708:15:00,12,53,2,2,25,24,24,3,0,0.47,0.23,3,1,0
